Task,Stimulus,N Fixations,Fixation Durations (in sec),N Saccades,Mean Saccade Distances (in pix),Mean Saccade Durations (in sec),Time Interval
Fixation,Puzzle,3,14.993333333333332,2,10.590943141953863,0.003000000000000002,0
Fixation,Puzzle,3,14.993333333333332,0,,,1
FreeViewing,Puzzle,150,0.29790666666666643,80,148.40759813586428,0.01587500000000035,1
FreeViewing,Natural,127,0.34399999999999986,54,93.29438316530845,0.016666666666666715,0
FreeViewing,Natural,127,0.34399999999999986,71,101.09199838592136,0.13580281690140864,1
Fixation,Puzzle,10,4.490600000000001,0,,,1
FreeViewing,Natural,143,0.3126153846153846,63,67.35159460257125,0.009523809523809542,0
Fixation,Natural,34,1.3201764705882346,2,36.36884777956332,0.007000000000000005,0
FreeViewing,Waldo,150,0.2908947368421051,82,92.52500762487112,0.017853658536585132,1
Fixation,Waldo,14,3.2115714285714287,5,52.92143086601955,0.010399999999999965,0
Fixation,Waldo,14,3.2115714285714287,8,45.33380497929345,0.005499999999999172,1
Fixation,Puzzle,35,1.2832000000000001,17,14.660483818410254,0.0037647058823526572,0
Fixation,Puzzle,35,1.2832000000000001,17,21.568582221888395,0.004235294117646593,1
FreeViewing,Waldo,129,0.3300153846153848,68,56.57304935799796,-0.19523529411764717,0
Fixation,Natural,34,1.3194705882352935,18,31.470597060169204,0.00533333333333361,0
Fixation,Waldo,3,14.944,0,,,1
Fixation,Waldo,9,4.982666666666666,0,,,1
FreeViewing,Waldo,39,0.44348837209302344,24,41.92261479299239,-0.6327500000000005,1
Fixation,Puzzle,17,2.636705882352942,8,75.30575888213497,0.009499999999998732,1
FreeViewing,Puzzle,178,0.25073033707865167,79,172.61033654037593,0.019341772151898525,0
FreeViewing,Puzzle,178,0.25073033707865167,98,136.56232992079467,0.017306122448979826,1
FreeViewing,Waldo,156,0.27701265822784826,63,92.78878245878529,0.01711111111111104,0
FreeViewing,Natural,172,0.25719767441860447,76,65.49424856556443,0.01128947368421065,0
FreeViewing,Puzzle,228,0.18806060606060612,83,109.96384195309922,0.012530120481927757,0
FreeViewing,Natural,170,0.2621176470588234,92,64.64502026730281,0.00832608695652199,1
Fixation,Natural,22,2.037454545454546,14,60.96314590253521,0.007714285714285245,1
Fixation,Natural,36,1.2437777777777776,7,65.0981401502021,0.01000000000000004,1
Fixation,Puzzle,18,2.4978888888888893,11,68.00689282630066,0.009818181818181865,0
Fixation,Puzzle,18,2.4978888888888893,6,62.97499110422634,0.008666666666665416,1
FreeViewing,Natural,83,0.5255294117647056,53,78.70676237693584,0.01094339622641533,1
Fixation,Natural,20,2.2398000000000002,2,20.21336422059352,0.0040000000000000036,0
Fixation,Waldo,4,11.248,3,21.07819482186085,0.005333333333333338,0
Fixation,Waldo,4,11.248,0,,,1
FreeViewing,Waldo,106,0.4103962264150942,40,114.96543903921751,0.14600000000000007,1
Fixation,Natural,14,3.207857142857143,0,,,1
FreeViewing,Waldo,111,0.38796428571428615,65,39.5468469334482,-0.13578461538461595,1
Fixation,Waldo,19,2.365263157894737,11,14.954117391610962,0.003272727272726751,1
Fixation,Waldo,11,4.064,0,,,0
Fixation,Puzzle,13,3.4386153846153844,1,1.6465190554621805,0.002,0
Fixation,Natural,6,7.466666666666666,0,,,0
Fixation,Waldo,8,5.584000000000001,0,,,0
Fixation,Puzzle,6,7.478666666666666,1,0.3286715685908867,0.002,0
Fixation,Natural,19,2.338526315789474,3,15.055692494182424,0.004666666666666662,0
Fixation,Puzzle,21,2.115428571428572,13,9.733625678040514,0.003076923076922738,1
Fixation,Waldo,29,1.306823529411764,4,76.75132580601257,0.01049999999999951,0
FreeViewing,Waldo,110,0.39863063063063076,54,70.00119128846549,0.010555555555555516,0
Fixation,Puzzle,29,1.2750285714285712,20,53.90136706564571,0.022000000000000065,1
Fixation,Puzzle,47,0.8234444444444442,10,69.87934694044513,0.01859999999999955,0
Fixation,Natural,8,3.723333333333333,2,230.86039114219287,0.05999999999999961,0
Fixation,Natural,29,1.5416551724137932,4,117.79423054836435,0.017000000000000334,0
FreeViewing,Waldo,176,0.2344831460674156,80,96.9155015921762,0.11345000000000009,0
Fixation,Puzzle,29,1.4003124999999996,18,59.718425205834265,0.013222222222222198,0
Fixation,Puzzle,29,1.4003124999999996,10,76.370188359656,0.015600000000000946,1
Fixation,Waldo,50,0.8241481481481477,23,43.00453073512082,0.012956521739130398,0
FreeViewing,Puzzle,129,0.3446821705426358,60,159.79277163540584,0.019066666666666527,0
Fixation,Puzzle,18,2.132190476190476,5,58.3492700381066,0.022000000000000776,0
Fixation,Waldo,42,0.987511111111111,15,40.86566352787654,0.011866666666666604,0
Fixation,Puzzle,30,1.3152941176470587,21,69.4562737853568,0.019238095238095318,0
Fixation,Puzzle,30,1.3152941176470587,8,50.196449554552586,0.00550000000000006,1
FreeViewing,Puzzle,114,0.38855652173913036,48,181.85117373256648,0.023291666666666763,0
Fixation,Natural,23,1.8705833333333326,9,26.222830581784063,0.013777777777777642,0
Fixation,Natural,23,1.8705833333333326,13,82.36911514627887,0.010615384615385564,1
FreeViewing,Natural,114,0.392157894736842,57,80.97443125187262,0.01147368421052633,0
Fixation,Waldo,17,2.032545454545454,6,30.389128737318106,0.017666666666666792,0
Fixation,Waldo,17,2.032545454545454,10,30.048866939329134,0.04019999999999975,1
FreeViewing,Natural,145,0.29906756756756747,73,66.266238301784,0.012493150684931483,0
Fixation,Puzzle,26,1.491,15,57.628835067270764,0.015066666666666872,0
Fixation,Puzzle,26,1.491,10,18.646937052860064,0.025399999999999777,1
Fixation,Natural,25,1.6562222222222227,10,69.0576022160279,0.016999999999999814,0
Fixation,Natural,25,1.6562222222222227,14,65.55858620484358,0.01757142857142822,1
Fixation,Waldo,8,4.9882222222222214,2,25.87754417505332,0.004000000000000448,0
Fixation,Waldo,8,4.9882222222222214,5,63.4350522483825,0.023200000000000644,1
FreeViewing,Natural,120,0.3610894308943089,54,68.08503385750213,0.013555555555555522,0
Fixation,Natural,19,2.0361818181818188,2,24.13454682262413,0.04699999999999971,0
Fixation,Waldo,11,3.448923076923077,7,28.101322059248282,0.016000000000000014,0
Fixation,Waldo,11,3.448923076923077,3,27.571376529764436,0.03733333333333396,1
FreeViewing,Waldo,128,0.34082170542635665,54,76.00716238887055,0.012777777777777857,0
Fixation,Puzzle,21,1.9494782608695655,7,41.77300905117057,0.015428571428572013,1
FreeViewing,Puzzle,120,0.3256666666666667,57,156.07182210806096,0.020070175438596363,0
FreeViewing,Waldo,155,0.28587179487179487,76,82.20438025391262,0.012921052631578903,0
FreeViewing,Waldo,155,0.28587179487179487,78,72.59699452812296,0.012615384615384547,1
FreeViewing,Natural,53,0.8291111111111112,27,76.11228916632335,0.012518518518518542,0
FreeViewing,Natural,53,0.8291111111111112,25,89.59004759057672,0.017920000000000158,1
Fixation,Waldo,29,1.4409032258064518,8,30.474675730193074,0.004999999999999893,0
Fixation,Waldo,9,3.4430769230769234,3,25.479639502018117,0.06533333333333206,0
Fixation,Waldo,9,3.4430769230769234,5,19.49690961931481,0.04519999999999982,1
Fixation,Natural,21,2.139428571428571,7,43.778342175319196,0.006285714285714291,0
Fixation,Puzzle,16,2.2350000000000003,3,18.831078321727603,0.037999999999999666,0
Fixation,Puzzle,16,2.2350000000000003,12,24.758611293204215,0.028166666666667044,1
Fixation,Natural,19,2.1359047619047624,1,228.25788595358546,0.02400000000000091,0
FreeViewing,Puzzle,80,0.5283095238095238,43,156.91462033931492,0.030837209302325697,0
FreeViewing,Puzzle,80,0.5283095238095238,36,171.1667669943313,0.027499999999999858,1
FreeViewing,Natural,110,0.38915789473684215,39,91.80736231366012,0.014461538461538418,0
Fixation,Natural,32,1.1696842105263159,16,62.08533506721379,0.02387499999999987,1
FreeViewing,Waldo,116,0.3797094017094013,61,68.56175096897722,0.010885245901640125,1
Fixation,Puzzle,26,1.5443448275862066,13,41.27316285173701,0.01323076923076921,0
Fixation,Puzzle,26,1.5443448275862066,12,51.4872808367341,0.011166666666667583,1
FreeViewing,Waldo,112,0.3990357142857143,58,41.66125851001473,0.006586206896551795,0
FreeViewing,Waldo,95,0.47122105263157865,33,57.481758860572356,0.008848484848484984,0
FreeViewing,Natural,81,0.5524691358024689,44,59.44067248496078,0.00881818181818182,0
Fixation,Waldo,4,11.2255,0,,,1
FreeViewing,Natural,108,0.41431481481481464,45,50.15866516674727,0.006933333333333754,1
Fixation,Puzzle,3,14.980666666666666,0,,,0
Fixation,Puzzle,2,22.491999999999997,0,,,0
Fixation,Puzzle,2,22.491999999999997,1,108.53649155929075,0.013999999999999346,1
Fixation,Waldo,1,44.998,0,,,0
Fixation,Waldo,1,44.998,0,,,1
Fixation,Puzzle,2,22.467999999999996,0,,,1
Fixation,Puzzle,3,14.973999999999998,0,,,0
Fixation,Natural,1,44.998,0,,,0
Fixation,Natural,1,44.998,0,,,1
Fixation,Natural,1,44.994,0,,,0
Fixation,Natural,1,44.994,0,,,1
FreeViewing,Waldo,109,0.4100733944954125,46,59.90425239198889,0.008478260869565369,0
FreeViewing,Puzzle,114,0.3920175438596491,58,208.6532770442673,0.02151724137931028,0
FreeViewing,Puzzle,114,0.3920175438596491,54,116.62349265259508,-0.16640740740740761,1
FreeViewing,Puzzle,125,0.3525714285714286,62,209.80259742470923,0.021677419354838835,0
Fixation,Natural,4,11.2445,3,85.6665207030522,0.007999999999999988,0
Fixation,Natural,4,11.2445,0,,,1
Fixation,Waldo,1,44.998,0,,,0
Fixation,Waldo,1,44.998,0,,,1
Fixation,Natural,1,44.994,0,,,0
Fixation,Natural,1,44.994,0,,,1
Fixation,Waldo,2,22.498,1,1.125,0.002,0
Fixation,Waldo,2,22.498,0,,,1
Fixation,Puzzle,1,44.998,0,,,0
Fixation,Puzzle,1,44.998,0,,,1
Fixation,Natural,1,44.998,0,,,0
Fixation,Natural,1,44.998,0,,,1
Fixation,Natural,1,45.0,0,,,0
Fixation,Natural,1,45.0,0,,,1
Fixation,Natural,1,44.996,0,,,0
Fixation,Natural,1,44.996,0,,,1
Fixation,Puzzle,1,44.984,0,,,0
Fixation,Puzzle,1,44.984,0,,,1
FreeViewing,Waldo,67,0.6697313432835817,36,58.62554265179225,0.007666666666666797,0
FreeViewing,Waldo,67,0.6697313432835817,30,63.59382876690044,0.007800000000000295,1
Fixation,Waldo,1,44.986,0,,,0
Fixation,Waldo,1,44.986,0,,,1
Fixation,Waldo,1,44.994,0,,,0
Fixation,Waldo,1,44.994,0,,,1
FreeViewing,Waldo,50,0.8839999999999999,24,31.577032458327626,0.0047500000000001525,0
Fixation,Waldo,1,45.0,0,,,0
Fixation,Waldo,1,45.0,0,,,1
Fixation,Waldo,1,44.994,0,,,0
Fixation,Waldo,1,44.994,0,,,1
FreeViewing,Natural,27,1.664074074074074,9,46.47783527143483,0.005555555555555536,0
FreeViewing,Natural,27,1.664074074074074,17,63.49354298861344,0.007176470588235497,1
Fixation,Natural,1,44.986,0,,,0
Fixation,Natural,1,44.986,0,,,1
FreeViewing,Waldo,49,0.9164489795918367,19,85.9645510738761,0.008947368421052686,0
FreeViewing,Waldo,49,0.9164489795918367,29,60.39266157838289,0.006689655172414374,1
Fixation,Puzzle,2,22.457,0,,,1
Fixation,Natural,2,22.459,0,,,1
Fixation,Puzzle,1,45.0,0,,,0
Fixation,Puzzle,1,45.0,0,,,1
FreeViewing,Natural,55,0.8126545454545459,34,55.74970931772254,0.006529411764705712,1
FreeViewing,Puzzle,96,0.46679166666666694,43,216.2254098178262,0.019581395348837217,0
FreeViewing,Puzzle,96,0.46679166666666694,52,246.8293095680094,0.021769230769230114,1
FreeViewing,Waldo,48,0.9340000000000002,21,71.32305597891225,0.007714285714285668,1
FreeViewing,Puzzle,103,0.43481553398058254,48,232.59480242697177,0.02079166666666675,0
FreeViewing,Puzzle,103,0.43481553398058254,54,244.51486131309392,0.021777777777777813,1
Fixation,Puzzle,2,22.452,0,,,1
FreeViewing,Puzzle,115,0.38307826086956515,54,227.8954693391164,0.021296296296296306,0
FreeViewing,Natural,74,0.5961081081081083,23,40.30840135753839,0.004956521739130314,0
Fixation,Waldo,1,44.984,0,,,0
Fixation,Waldo,1,44.984,0,,,1
Fixation,Puzzle,4,11.2065,0,,,0
FreeViewing,Puzzle,99,0.4518989898989903,56,250.62970960706866,0.023071428571428347,1
Fixation,Puzzle,14,3.2021428571428574,3,85.75514702147545,0.008000000000000304,0
Fixation,Waldo,5,8.9724,0,,,0
FreeViewing,Puzzle,117,0.37816949152542395,54,232.13060865491605,0.02244444444444433,0
Fixation,Natural,2,22.441000000000003,0,,,1
FreeViewing,Waldo,86,0.5105116279069766,42,85.54287379482811,0.009619047619047728,0
FreeViewing,Waldo,51,0.878196078431373,24,39.4231671957691,0.005083333333332589,1
FreeViewing,Puzzle,92,0.48121739130434765,47,201.0680504418204,0.019063829787234365,0
Fixation,Puzzle,6,0.4963333333333333,5,75.96592558857175,0.0128,0
Fixation,Puzzle,6,0.4963333333333333,0,,,1
FreeViewing,Puzzle,156,0.2835668789808918,75,180.00266974811922,-0.01005333333333334,0
FreeViewing,Puzzle,156,0.2835668789808918,79,195.0593079215867,0.02286075949367058,1
FreeViewing,Puzzle,151,0.28878431372549024,99,170.43432446131757,0.02222222222222207,1
FreeViewing,Puzzle,145,0.3082344827586207,74,206.79576336063724,0.024972972972973007,1
Fixation,Natural,63,0.7097777777777777,26,41.12809832948107,0.009923076923076753,1
FreeViewing,Puzzle,141,0.29686896551724123,62,195.60681898680258,0.027064516129032237,0
FreeViewing,Puzzle,141,0.29686896551724123,77,195.40092756157821,0.05719480519480538,1
Fixation,Natural,38,1.1822105263157894,23,64.97954879019404,0.012347826086956839,0
Fixation,Natural,38,1.1822105263157894,14,43.88249376118075,0.006285714285713847,1
FreeViewing,Natural,133,0.3362406015037596,40,119.46993427223906,0.021049999999999885,0
FreeViewing,Natural,148,0.3019999999999999,70,95.93893179650692,0.017314285714285747,0
FreeViewing,Waldo,141,0.3162553191489359,69,88.5266772160676,0.01617391304347872,1
Fixation,Waldo,25,1.79744,23,110.24591664597257,0.05678260869565207,0
Fixation,Waldo,25,1.79744,0,,,1
Fixation,Waldo,45,0.9977777777777778,13,42.885376973932175,0.006461538461538279,0
Fixation,Waldo,45,0.9977777777777778,31,48.92164251492824,0.010838709677419078,1
FreeViewing,Waldo,105,0.4264190476190477,58,68.25456412604538,0.012517241379310083,1
Fixation,Puzzle,104,0.4267115384615384,32,81.11036126347358,0.014937499999999816,0
Fixation,Waldo,37,1.214054054054054,0,,,1
FreeViewing,Natural,107,0.4185420560747664,59,75.02135207392668,0.012847457627118674,0
FreeViewing,Natural,107,0.4185420560747664,47,27.1487417376174,0.006297872340425367,1
